web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,06/05/2023,12/05/2023,436,436,,781134,0.0,Résidence Granges B,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,08/07/2023,14/07/2023,710,710,,782524,0.0,Résidence Etaliere,La Clusaz - Haute Savoie,,27,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,428,428,,782784,0.0,Résidence Soleil D'or,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,648,648,,782634,0.0,Ambiance Chalet,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,06/05/2023,12/05/2023,507,507,,781204,0.0,Chalet Bethanie,La Clusaz - Haute Savoie,,18,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,822,822,,781974,0.0,Residence Du Centre C,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,384,384,,782974,5.0,Résidence Viking,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,808,808,,781904,0.0,Résidence Eden Roc,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,914,914,,781824,0.0,Résidence Aigles I,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,478,478,,782854,0.0,Résidence Ours Brun,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,501,501,,783354,0.0,Résidence Balme 2,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,544,544,,782474,0.0,Résidence Biblos,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,954,954,,782294,0.0,Residence Vittoz,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,517,517,,782234,5.0,Résidence Belvedere 2,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,854,854,,781884,0.0,Résidence Girolle,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,708,708,,782224,0.0,Résidence Week-end,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,407,387,,157934,0.0,Résidence Mendi Alde (LCZ300),La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,639,639,,782884,0.0,Résidence Hauts Des Riffroids B,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,469,469,,782814,0.0,Résidence Samoyede,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,17/06/2023,23/06/2023,677,677,,358614,0.0,Résidence OURS BLANC 1,La Clusaz - Haute Savoie,,24,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,638,638,,781994,0.0,Résidence Bossonnet,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,17/06/2023,23/06/2023,407,407,,357914,0.0,Résidence GENTIANES 0,La Clusaz - Haute Savoie,,24,"('38',)",LA CLUSAZ
,14/04/2023,22/07/2023,28/07/2023,1170,1170,,782124,0.0,Résidence Laurentides,La Clusaz - Haute Savoie,,29,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,671,671,,782214,4.0,Résidence Bel Alp,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,17/06/2023,23/06/2023,1138,1138,,358524,5.0,Résidence PASTORALE 2,La Clusaz - Haute Savoie,,24,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1374,1374,,358224,0.0,Résidence ELAN 12,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,29/04/2023,05/05/2023,585,585,,782064,0.0,Résidence Balme I,La Clusaz - Haute Savoie,,17,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,816,816,,782424,0.0,Résidence Pascal,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,03/06/2023,09/06/2023,1434,1434,,358644,0.0,Résidence POLARIS,La Clusaz - Haute Savoie,,22,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1651,1651,,357904,0.0,Résidence GENTIANES 1,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,850,850,,358554,0.0,Résidence ELAN 15,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1066,1066,,358074,0.0,Résidence AULP DE SUZ' 1,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,517,517,,782764,0.0,Résidence Domanial A,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/07/2023,28/07/2023,1153,1153,,358354,0.0,Résidence OURS BLANC 29,La Clusaz - Haute Savoie,,29,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,457,457,,782734,5.0,Résidence Alcyon,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,08/07/2023,14/07/2023,710,710,,782754,0.0,Résidence Traverse,La Clusaz - Haute Savoie,,27,"('38',)",LA CLUSAZ
,14/04/2023,29/04/2023,05/05/2023,1909,1470,,782074,0.0,Résidence Plein Sud,La Clusaz - Haute Savoie,,17,"('38',)",LA CLUSAZ
